stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Fryderyk\Projects\labirynt\Labirynt\Debug\allegro5.cfg r
display  D   display_settings.c:398  _al_score_display_settings       [   0.01622] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01624] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01627] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01629] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01631] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01633] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01636] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01638] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01640] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01642] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01645] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01647] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01649] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01651] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01657] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01659] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01662] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01664] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01666] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01668] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01671] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01673] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01675] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01677] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01680] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01682] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01684] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01686] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01689] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01691] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01693] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.01697] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.01728] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.01732] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.02763] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.03676] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.03680] Success
d3d      D         d3d_disp.cpp:1691 d3d_create_display_internals     [   0.03686] Resumed after wait.
d3d      I         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.03690] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1755 d3d_create_display_internals     [   0.03695] Returning d3d_display: 011F59A0
d3d      D         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.03697] al_display=011F59A0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.03700] al_display->vt=011DE708
system   D            wsystem.c:738  maybe_parent_dir                 [   0.03765] Also searching C:\Users\Fryderyk\Projects\labirynt\Labirynt\
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.03861] PathFindOnPath failed to find d3dx9_43.dll
system   D            wsystem.c:738  maybe_parent_dir                 [   0.03875] Also searching C:\Users\Fryderyk\Projects\labirynt\Labirynt\
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.03892] PathFindOnPath found: C:\Windows\system32\d3dx9_42.dll
system   D            wsystem.c:699  load_library_at_path             [   0.03895] Calling LoadLibrary C:\Windows\system32\d3dx9_42.dll
system   I            wsystem.c:702  load_library_at_path             [   0.03954] Loaded C:\Windows\system32\d3dx9_42.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.03959] Module "d3dx9_42.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.03968] added dtor for queue 01232638, func 71EA23A1
d3d      I         d3d_disp.cpp:901  d3d_destroy_display              [  62.11482] destroying display 011F59A0 (current 00000000)
d3d      D         d3d_disp.cpp:885  d3d_destroy_display_internals    [  62.11812] waiting for display 011F59A0's thread to end
d3d      W         d3d_disp.cpp:595  d3d_destroy_device               [  62.12576] d3d_destroy_device: ref count not 0
d3d      W         d3d_disp.cpp:595  d3d_destroy_device               [  62.12580] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1548 d3d_display_thread_proc          [  62.13053] d3d display thread exits
dtor     D               dtor.c:227  _al_unregister_destructor        [  62.13150] removed dtor for queue 01232638
d3d      I         d3d_disp.cpp:1768 d3d_create_display_locked        [  78.61386] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1769 d3d_create_display_locked        [  78.61390] al_display=02F502C8
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [  78.61392] al_display->vt=011DE708
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [  78.61405] found 64 format combinations
display  D   display_settings.c:212  debug_display_settings           [  78.61407] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61409] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [  78.61411] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61413] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [  78.61415] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61417] Score is : 897
